客户ID,订单日期,订单金额,商品类别
C001,2023-12-15,299.50,电子产品
C001,2023-11-20,159.80,服装
C001,2023-10-05,89.90,家居用品
C002,2023-12-18,1299.00,电子产品
C002,2023-09-12,199.50,服装
C003,2023-12-20,45.60,食品
C003,2023-12-10,78.90,家居用品
C003,2023-11-25,123.40,服装
C003,2023-11-15,67.80,食品
C003,2023-10-30,234.50,电子产品
C004,2023-08-15,899.00,电子产品
C005,2023-12-19,156.70,服装
C005,2023-12-01,89.30,食品
C005,2023-11-18,345.60,家居用品
C005,2023-10-22,178.90,服装
C005,2023-09-08,267.40,电子产品
C006,2023-07-20,567.80,电子产品
C007,2023-12-21,78.50,食品
C007,2023-12-14,234.60,服装
C007,2023-11-28,145.30,家居用品
C007,2023-11-10,89.70,食品
C007,2023-10-25,456.80,电子产品
C007,2023-10-12,123.90,服装
C007,2023-09-18,198.50,家居用品
C008,2023-06-10,1234.50,电子产品
C009,2023-12-22,67.80,食品
C009,2023-12-08,189.40,服装
C009,2023-11-22,345.70,电子产品
C009,2023-11-05,123.60,家居用品
C009,2023-10-18,234.80,服装
C009,2023-10-01,156.90,食品
C009,2023-09-15,567.30,电子产品
C009,2023-08-28,89.50,家居用品
C010,2023-05-15,789.60,电子产品
C011,2023-12-23,234.70,服装
C011,2023-12-05,145.80,家居用品
C011,2023-11-19,89.60,食品
C011,2023-10-28,456.90,电子产品
C011,2023-10-08,178.40,服装
C011,2023-09-22,267.50,家居用品
C011,2023-09-05,123.70,食品
C012,2023-04-20,1567.80,电子产品
C013,2023-12-24,89.90,食品
C013,2023-12-12,234.50,服装
C013,2023-11-26,156.70,家居用品
C013,2023-11-12,345.80,电子产品
C013,2023-10-29,123.40,服装
C013,2023-10-15,189.60,食品
C013,2023-09-28,456.70,家居用品
C013,2023-09-12,267.80,电子产品
C013,2023-08-25,178.90,服装
C014,2023-03-10,2345.60,电子产品
C015,2023-12-25,123.80,食品
C015,2023-12-18,345.90,服装
C015,2023-12-02,189.70,家居用品
C015,2023-11-20,267.40,电子产品
C015,2023-11-08,156.80,服装
C015,2023-10-24,234.90,食品
C015,2023-10-10,456.50,家居用品
C015,2023-09-26,178.60,电子产品
C015,2023-09-08,345.70,服装
C015,2023-08-22,123.90,食品
C016,2023-02-15,3456.70,电子产品
C017,2023-12-26,189.80,服装
C017,2023-12-15,267.50,家居用品
C017,2023-11-30,156.90,食品
C017,2023-11-16,345.60,电子产品
C017,2023-11-02,234.70,服装
C017,2023-10-19,178.80,家居用品
C017,2023-10-05,456.90,食品
C017,2023-09-21,123.50,电子产品
C017,2023-09-07,267.60,服装
C017,2023-08-24,189.40,家居用品
C017,2023-08-10,345.80,食品
C018,2023-01-20,4567.80,电子产品
C019,2023-12-27,234.60,服装
C019,2023-12-20,178.90,家居用品
C019,2023-12-08,345.70,食品
C019,2023-11-25,156.80,电子产品
C019,2023-11-12,267.50,服装
C019,2023-10-30,189.60,家居用品
C019,2023-10-16,456.80,食品
C019,2023-10-02,123.90,电子产品
C019,2023-09-18,345.40,服装
C019,2023-09-04,234.70,家居用品
C019,2023-08-21,178.50,食品
C019,2023-08-07,267.80,电子产品
C020,2022-12-15,5678.90,电子产品
C021,2023-12-28,156.70,服装
C021,2023-12-22,345.80,家居用品
C021,2023-12-12,189.90,食品
C021,2023-11-28,267.60,电子产品
C021,2023-11-15,234.50,服装
C021,2023-11-01,178.70,家居用品
C021,2023-10-18,456.80,食品
C021,2023-10-04,123.60,电子产品
C021,2023-09-20,345.90,服装
C021,2023-09-06,189.40,家居用品
C021,2023-08-23,267.70,食品
C021,2023-08-09,156.80,电子产品
C021,2023-07-26,234.90,服装
C022,2022-11-20,6789.50,电子产品
C023,2023-12-29,189.60,服装
C023,2023-12-25,267.80,家居用品
C023,2023-12-15,345.90,食品
C023,2023-12-01,156.70,电子产品
C023,2023-11-18,234.80,服装
C023,2023-11-04,178.60,家居用品
C023,2023-10-21,456.90,食品
C023,2023-10-07,123.50,电子产品
C023,2023-09-23,345.70,服装
C023,2023-09-09,189.80,家居用品
C023,2023-08-26,267.40,食品
C023,2023-08-12,156.90,电子产品
C023,2023-07-29,234.60,服装
C023,2023-07-15,178.80,家居用品
C024,2022-10-10,7890.60,电子产品
C025,2023-12-30,234.70,服装
C025,2023-12-28,178.90,家居用品
C025,2023-12-18,345.60,食品
C025,2023-12-05,267.80,电子产品
C025,2023-11-22,156.50,服装
C025,2023-11-08,189.70,家居用品
C025,2023-10-25,456.80,食品
C025,2023-10-11,123.90,电子产品
C025,2023-09-27,345.40,服装
C025,2023-09-13,234.60,家居用品
C025,2023-08-30,178.80,食品
C025,2023-08-16,267.50,电子产品
C025,2023-08-02,156.70,服装
C025,2023-07-19,189.90,家居用品
C025,2023-07-05,345.80,食品
C026,2022-09-05,8901.70,电子产品
C027,2023-12-31,267.80,服装
C027,2023-12-30,189.60,家居用品
C027,2023-12-22,345.90,食品
C027,2023-12-08,156.70,电子产品
C027,2023-11-25,234.80,服装
C027,2023-11-11,178.50,家居用品
C027,2023-10-28,456.90,食品
C027,2023-10-14,123.60,电子产品
C027,2023-09-30,345.70,服装
C027,2023-09-16,189.80,家居用品
C027,2023-09-02,267.40,食品
C027,2023-08-19,156.90,电子产品
