用户ID,商品ID,评分,时间戳,商品类别,商品价格,用户年龄,用户性别,用户城市,行为类型
U001,P001,5,2023-12-01 10:30:00,电子产品,2999,25,男,北京,购买
U001,P015,4,2023-12-02 14:20:00,服装,299,25,男,北京,购买
U001,P032,3,2023-12-03 09:15:00,图书,89,25,男,北京,浏览
U001,P045,5,2023-12-04 16:45:00,电子产品,1599,25,男,北京,购买
U002,P002,4,2023-12-01 11:00:00,服装,199,32,女,上海,购买
U002,P018,5,2023-12-02 15:30:00,美妆,159,32,女,上海,购买
U002,P025,3,2023-12-03 12:20:00,家居,399,32,女,上海,浏览
U002,P038,4,2023-12-04 18:10:00,服装,259,32,女,上海,购买
U003,P003,3,2023-12-01 13:45:00,图书,45,28,男,广州,购买
U003,P019,4,2023-12-02 10:15:00,电子产品,899,28,男,广州,购买
U003,P033,5,2023-12-03 14:30:00,运动,299,28,男,广州,购买
U003,P047,2,2023-12-04 11:20:00,图书,69,28,男,广州,浏览
U004,P004,5,2023-12-01 16:20:00,美妆,89,24,女,深圳,购买
U004,P020,3,2023-12-02 13:40:00,服装,399,24,女,深圳,浏览
U004,P026,4,2023-12-03 17:15:00,美妆,129,24,女,深圳,购买
U004,P039,5,2023-12-04 12:30:00,家居,199,24,女,深圳,购买
U005,P005,4,2023-12-01 09:30:00,运动,599,35,男,杭州,购买
U005,P021,5,2023-12-02 16:45:00,电子产品,1299,35,男,杭州,购买
U005,P034,3,2023-12-03 11:10:00,运动,199,35,男,杭州,浏览
U005,P048,4,2023-12-04 15:20:00,图书,99,35,男,杭州,购买
U006,P006,3,2023-12-01 14:15:00,家居,299,29,女,成都,购买
U006,P022,4,2023-12-02 12:30:00,美妆,199,29,女,成都,购买
U006,P027,5,2023-12-03 18:45:00,服装,459,29,女,成都,购买
U006,P040,3,2023-12-04 10:50:00,家居,359,29,女,成都,浏览
U007,P007,5,2023-12-01 17:30:00,电子产品,3999,31,男,武汉,购买
U007,P023,4,2023-12-02 14:15:00,运动,399,31,男,武汉,购买
U007,P035,3,2023-12-03 16:20:00,电子产品,799,31,男,武汉,浏览
U007,P049,5,2023-12-04 13:40:00,图书,129,31,男,武汉,购买
U008,P008,4,2023-12-01 12:45:00,服装,329,26,女,西安,购买
U008,P024,3,2023-12-02 17:20:00,美妆,99,26,女,西安,浏览
U008,P028,5,2023-12-03 15:30:00,服装,299,26,女,西安,购买
U008,P041,4,2023-12-04 14:10:00,家居,249,26,女,西安,购买
U009,P009,3,2023-12-01 15:10:00,图书,59,33,男,南京,购买
U009,P016,4,2023-12-02 11:25:00,电子产品,1599,33,男,南京,购买
U009,P029,5,2023-12-03 13:15:00,运动,459,33,男,南京,购买
U009,P042,3,2023-12-04 16:30:00,图书,79,33,男,南京,浏览
U010,P010,5,2023-12-01 18:20:00,美妆,159,27,女,重庆,购买
U010,P017,4,2023-12-02 09:40:00,服装,399,27,女,重庆,购买
U010,P030,3,2023-12-03 12:50:00,美妆,119,27,女,重庆,浏览
U010,P043,5,2023-12-04 17:15:00,家居,299,27,女,重庆,购买
U011,P011,4,2023-12-01 10:15:00,运动,299,30,男,天津,购买
U011,P001,5,2023-12-02 15:45:00,电子产品,2999,30,男,天津,购买
